company_name,Assignments
29 fleet street ltd,1
harley street nurses,1
treated.com,1
test for now ltd,1
national covid testing (klinical enterprises ltd),1
"t/a nash travel, tourism and transport services ltd",1
covid mobile health services/remote trauma ld,1
harley street nurses ltd,1
one scientic ltd,1
"www.covidfittoflytest.co.uk t/a nash travel, tourism and transport services ltd.",1
"bansals pharmacy (southend on sea),",1
uk testing arrival centre,1
acethetix testing services,1
one scientific ltd.,1
my local travel clinic,1
vitox,1
labmedexpert limited,1
medicspot,1
dr. shilpa dave private gp teddington,1
elite safety clinic,1
calder pharmacy & medspa clinic,1
1corporate covid tests,1
northend clinic,1
jace medical,1
covido,1
concepto clinic,1
expresstest by cignpost diagnostics,1
pharmesthetics ltd,1
247hometesting.com,1
"pct healthcare t/a peak pharmacy, manor pharmacy, cox-robinson pharmacy",1
shakib&neale limitd (107 harley street),1
harley medic international,1
andres pharmacy,1
the mayfair gp clinic,1
chb medical,1
lord's pharmacy,1
assured screening.com,1
@covid19 health clinics limited,1
+001 expert covid testing uk,1
121 pure testing,1
herts,1
000 book a travel test,1
brunswick hygiene,1
arrival testing,1
my express testing uk,1
12-14 pharmacy,1
ypchealth,1
10 hs linknurse clinic london,1
express testing,1
randox laboratories ltd,1
medinow,1
london screening centre,1
me360 testing services,1
fakir chemist,1
nl clinic,1
your private health,1
covid19 health clinics limited,1
cryo express,1
midland health,1
ace-thetix,1
leeds covid testing ltd,0
new street pharmacy,1
al-shadhilli ltd,1
.001my express testing,1
global covid19 testing,1
jdoc medical linited (t/a jdoc365),1
15 minute covid test,1
1rapid clinics,1
mayfair doctors,1
chase lodge hospital,1
klinical enterprises ltd t/a national covid testing,1
pyser testing,1
private gp clinic,1
roc private clinic,1
alphamedicol ltd.,1
insta care solutions limited,1
00 harley medic international,1
harveyrhys clinic,1
evolve medical,1
samedaydoctor manchester,1
clear diagnostics ltd,1
a yct medlabs,1
moore medical practice,1
london medical concierge,1
london covid testing,1
me360 healthcare ltd t/a me360 testing services,1
daya pharmacy,1
1 corporate covid tests,1
london elite health,1
tuli health,1
everything genetic limited,1
leeds covid testing,1
easy testing ltd,1
zen healthcare,1
pyramid pharmacy,1
chelsea pharmacy medical clinic,1
0+g16 covid testing,0
occupational health bristol,1
calder pharmacy & medspa clinic notting hill,1
epistem,1
private gp services uk ltd,1
healthwork ltd,1
nottinghamshire,1
minton treharne & davies laboratories limited,1
nhl pharmacy,1
halo verify,1
the guildhall practice,1
remedys pharmacy,1
masters (uk) limited t/a nechells pharmacy and masters pharmacy,1
pt diagnostics,1
test for now,1
g16 covid testing,0
northway clinic,1
the new foscote hospital,1
uk event medics ltd,1
abicare health solutions,1
ambulance services 24 ltd,1
protein technologies ltd t/a as rapiditydx,1
masters pharmacy,1
doctors clinic group,1
lifecrest ltd trading as (lifecrest medical laboratory),1
pulteney pharmacy,1
enoura medical (af aesthetics),1
rosalynâ€™s medical and wellbeing clinic,1
chelsea medical,1
zoomdoc,1
1 covclinics,0
mk18 private medical practice,1
mlp,1
woodsetton pharmacy,1
+247 travel tests,1
101 covid travel clinic,1
rb healthcare ltd,1
myhealthcare clinic,1
church pharmacy weybridge,1
a hasu diagnostics,1
coyne medical ltd,1
101 testing,0
1 nhl pharmacy,1
genesis support (t/a fit to fly uk),1
midland covid testing,1
c & h esher limited (t/a central pharmacy),1
clear diagnostics,1
advisa  medica,1
04 medical testing,0
me360 healthcare limited t/a me360 testing services,1
leigh broadway pharmacy (elm road),1
covid-19 travel clinic,1
nivha laboratory services ltd.,1
south west london covid 19 testing centre,1
avery labs,1
4 medical testing,0
testngo,1
expert medicals,0
tp healthcare services ltd,1
258 postal racoo screening ltd,1
covid testing laboratories ltd,1
nechells pharmacy and masters pharmacy,1
ghosh medical group,1
the wellness people ltd,1
first medical consultants,1
ukcovidtest,1
t consultants,1
sloane street testing,1
harley street dr,0
cignpost diagnostics,1
medical and rescue - london and lhr,1
https://private-testing-providers.london.cloudapps.digital/refresh-cache?id=750482,1
rainbow labs,1
mdna life sciences (uk) ltd,1
arrival test centre,1
claret diagnostics ltd,1
arrival diagnostics,1
123 clinics,0
nutraceuticals laboratory london limited,1
i-gen testing limited,1
harper medical ltd,1
physiofunction,1
concierge medical practice,1
acorn occupational health ltd,1
thechemistlive.co.uk,1
caliber medical services,1
the bridge clinic,1
quest medical,1
004medical testing,0
1 st class testing,1
medi-swift,1
corona testing,1
easy testing,1
solihull health check clinic,1
knightsbridge pharmacy,1
001 covid test,0
south west london covid-19 centre,1
medic testing,1
good egg medical limited,1
your health first ltd,1
tamsel (uk) ltd,1
.medical covid test,1
eurofins forensic services ltd,1
london medical laboratory,1
tac healthcare group,1
bristol travel clinic,1
pharmasuite,1
blindspot global ltd,1
global health travel clinic - longcross surrey,1
vsm pharmacy,1
0ptimized body & mind,0
1 alpha express testing,1
private gp teddington,1
the travel health clinic,1
abg covic ltd,1
gpdq ltd,1
church pharmacy,1
dante labs,1
reviv uk,1
duality health,1
pureflo health ltd,1
healthwork,1
@001 alpha express testing,1
westwood pharmacy,1
samedaydoctor,1
travel centre clapham,1
.001expert tms limited,0
004 medical testing,0
mayfield clinic,1
calder pharmacy & medspa clinic of notting hill,1
bansals pharmacy,1
everwell chinese medical centre ltd,1
rapiditydx,1
1affordabletest.com,1
pyramid pharmacy woolwich,1
newcastle premier health,1
london screening street,1
c & h esher ltd,1
118 testing,0
travel centre,1
tp healthcare services limited,1
0000covid 19 private test ltd,1
everythinggeneticlimited,1
01st class testing,1
yourhealthfirst clinic,1
consultant clinic,0
afforable tfnow,1
kings medical centre,1
collingwood health,1
chronomics,1
alexandru livinschi (t/a gat c-19),1
corona-testing,1
1 harley medic international,1
iqdoctor,1
edgcare private community family doctors,1
optipharm pharmacy,1
london corona test centre,1
mobihealth international,1
travel centre clapham ltd,1
outcome diagnostics,0
mhf medical concierge,1
dr tim lebens,1
summerfield healthcare,1
queen anne street medical centre,1
remedi health,1
baseline medicine,1
.expert doctors,0
easter pharmacy,1
laser and light,1
dna workplace,1
ingleton pharmacy,1
.0001 ace-thetix,1
everything genetic ltd,1
jdoc medical limited (t/a jdoc365),1
covid testing laboraratories,1
anglia dna services,0
1west end medical practice uk,1
msi clinics,0
121 covicall,0
travel 19,1
pcrtravel ltd london,1
eurofins forensic services,1
west midlands,1
xana medtec,1
hampshire travel clinic,1
heart lung centre,1
private-testing-providers london cloudapps digital refresh,1
the regenerative clinic,1
future health technologies,1
247 travel tests,1
oxford covid tests,1
+44 covid test,0
london medical laboratory / private coronavirus tests,1
@harley street nurses (t/a harley street nurses ltd),1
atropa blood clinic,1
randox health airport testing,1
covid test,0
assured screening,1
local pcr,1
gpdq,1
mediscan diagnostic services,1
sussex healthcare solutions ltd,1
harper institute ltd,1
my private chemist,1
your gp circle,1
the pharmacy at mayfair and clinic,1
dr. wayne cotrell & co.,1
family medics,1
abicare health solutions ltd (riva health),1
sorcha biotech,1
dgc health ltd,1
*everything genetic ltd,1
future health technologies limited,1
scotnursing & medical services (snms),1
the whitehall clinic,1
123covidtests,1
travel klinix,1
goodbody clinic,1
future healthcare ltd,1
covid test hub,1
oscartech uk,1
covid travel clinics,1
fit2fly24/7 ltd,1
123 covid labs,1
the medic clinic,1
roshni clinic,1
elements medical,1
protein technologies ltd / rapiditydx,1
recovery4life,1
af aesthetics (enoura medical),1
1  harley medic international,1
john bell & croyden,1
confirm testing,0
heathrow medical services llp,1
worldwide travel health clinic,1
vivo clinic,1
.004 medical testing,0
winchester gp,1
bestway national chemists t/a well pharmacy ltd,1
0001travelscreening,1
outcome diagnostics t/a 123 tests,1
001expert covid testing uk,1
pct healthcare,1
confirm testing limited,0
1 stop covid shop,0
covguard premium,1
d&a screening ltd,1
midland covid testing limited,1
t consultants ltd,1
the walcote practice,1
107 harley street,1
randox laboratories,1
medical logistics / samedaycoronavirustests.com,1
rb health and safety solutions ltd,1
rivahealth,1
nationwide pathology limited,1
weston road pharmacy,1
heald green pharmacy,1
expert covid testing uk,1
medical,0
blue horizon medicals,1
visithealth limited,1
southdowns private healthcare,1
mdx healthcare ltd t/a medix,1
covid test centre,1
pharmesthetics ltd (t/a http://www.samedayclinic.co.uk),1
medicines online ltd,0
100 covid clear,0
north devon travel clinic,1
vanite clinic,1
midlands ultrasound and medical services,1
pulmonics,1
expert doctors,0
well pharmacy (bestway national chemists ltd),1
"cheltenham, west midlands & worcester travel clinics",1
biolab london ltd,1
black and banton,1
healthclic,1
minton treharne & davies laboratories,1
expert tms limited,0
msh medical,1
medical logistics,1
affinity health,1
covid clear clinic,1
ramss limited,1
covguard,1
coronafocus by oncologica uk,1
sloane square medical,1
dr mo private clinic,1
candarin medical,1
good egg medical,1
js biomedical ltd,1
mayfair pharmacy,1
covid testing laboratories,1
118testing,1
optimized body &  mind,0
randox health london limited,1
corporate covid tests,1
flow living medi-care services,1
uk covid test centre,1
london nutrition doctor,1
ctm (nhs t&t),1
29 fleet street ltd t/a fleet street clinic,1
kyl healthcare services limited t/as the honeybee private nurse clinic,1
the mayfair gp,1
guildhall pharmacy,1
atruchecks,1
"cheltenham, worcester and west midlands travel clinics",1
fit2fly test ltd,1
solice health ltd,1
mdna life sciences,1
doctor driver assessment ltd,0
zava,1
empire medicines ltd t/a empire pharmacy,1
my express testing,1
samedaydoctor city clinic,1
research consultancy and health ltd,1
katalyst laboratories,1
fusion pharmacy,1
#nomad travel,1
live covid testing,0
rapid health test,1
"dr wayne cottrell, private gp canary wharf",1
"c & h esher ltd t/a central pharmacy, esher",1
pyramid pharmacy bermondsey,1
crown laboratories ltd,1
01 harley street,1
red 1 response,1
skc occupational health oxford,1
assuredscreening.com,1
the melton clinic,1
centennial medical care,1
"covid fit to fly tes t/a nash travel, tourism and transport services ltd.",1
3a covid testing limited,1
premier clinic ltd,1
orchard clinic / orchard blood,1
nph group,1
occupational health prime,1
01pcrtravel london,1
the clinic mk ltd,1
alphabiolabs,1
1 health hub,0
bupa occupational health ltd.,1
top health clinic,1
healthium clinics,0
proviris solutions,1
objective health ltd,1
dochq.co.uk,1
fitnessgenes,1
coyne medical,1
nivha laboratory services ltd,1
heathrow medical services,1
pexpo diagnostic,1
em analytical ltd,1
abicare health,1
fit to fly uk,1
coker chest clinic,1
agilis health,1
covid 19 private test ltd,1
healthyaa clinic,1
citydoc medical limited,1
ck doctors covid travel clinics,1
dears pharmacy & travel clinic,1
pillhub-feltham pharmacy,1
pharmacy led clinic,1
10 harley linknurse clinic london,1
0044 covid test,0
zoomdoc health,1
biogroup laboratory,1
dajani pharmacy,1
1westendmedicalpracticeuk,1
linbury doctors,1
hale clinic harley street,0
medical covid test,1
dr wayne cottrell,1
site lt,1
zen healthcare (purecare ltd),1
mare st clinic,1
global express travel health clinic ltd,1
locaton medical services ltd,1
home2lab,1
the palace gate practice limited,1
book a travel test,1
avicenna health,1
harleystreet,0
01harleystreet,1
harleys pharmacy,1
olive health & travel clinic,1
same day clinic,1
atlas medical services ltd,1
uk event medics limited,1
chhp and ceritific,1
longridge travel health clinic,1
global health travel clinic,1
everything genetic,1
brunswick hygiene ltd,1
covitests,1
iq doctor,1
courtfield private practice,1
rapid covid testing,1
"cheltenham, worcester & west midlands travel clinics",1
physiowork therapy uk ltd,1
101 expert doctors,0
covid test pick and drop,1
lyca health,1
0-100 travel 19,1
medical testing,0
medical diagnosis,1
medplus test,1
biograd diagnostic laboratories,1
peplobio,1
better2know,1
the london general practice,1
kurix health,1
concierge medical,1
247hometesting,1
a1 track&travel,1
nx healthcare,1
sevenoaks gp t/a the private gp clinic,1
ambutech pre-hospital care,1
acethetix,1
biotherapy services,1
rapid pcr,1
audley pharmacy,1
ask chemist,1
synlab,1
123tests.co.uk,1
doctap ltd,1
01 ct24 solutions ltd,1
chb medical ltd,1
pennfields pharmacy,1
quick meds using labmedexpert,1
uk event medics,1
pexpo diagnostics,1
protein technologies t/a rapiditydx,1
apollo testing,0
covid test today,1
tower bridge wellness pharmacy,1
cosmebeaute,1
private harley street clinic,1
medical and rescue,1
clnq,1
nationwide pathology,1
world travel clinic,1
la perla clinic,1
arriving uk,1
masta,1
biograd diagnostics,1
avante health ltd,1
msi clinics limited,1
my london pharmacy,1
excalibur diagnostics ltd,1
"hampstead heath pharmacy, travel health & vaccination clinic",1
001 digital health group ltd t/a pharma diagnostics,1
cov19care ltd,1
@01a my express testing,1
tp healthcare services,1
screen4,1
est-health wellness clinic,1
medi-park clinic,1
xana medtec ltd,1
123clinics,0
nomad travel,1
klarity,1
iq  doctor,1
arrivinguk,1
myhealthchecked,1
1 pcrtravel london,1
dorset private gp,1
edgbaston private medical practice,1
london vaccination clinic,1
covidfly,1
sterling testing,0
1 affordabletest.com,1
001 alpha express testing,1
source bioscience,1
hawkes health,1
doctors covid travel clinics,1
east midlands laser and cosmetic clinic ltd,1
boots uk,1
ais covid testing ltd,0
1st class testing,1
one scientific ltd,1
yakub chemist,1
ct24 solutions ltd,1
collinson,1
clinicare uk,1
caxton pharmacy,1
20/30 labs,1
sirkka networks limited,1
0 covid clear,0
pcr labs,1
quick clinics,0
ihomecare,1
med24 limited,1
complete covid tests,1
trio pharmacy,1
bansals pharmacy (southend on sea),1
now test,1
alphamedicol ltd,1
quick meds,1
test assurance group,1
flysurance,1
wren healthcare,1
covid smart limited,1
advisa medica,1
reading fit to fly/oxford road clinics ltd,1
new street pharmacy t/a the travel vaccine room,1
north and north west london covid tests,1
totley pharmacy ltd,1
roc health services,1
travel test centre ltd,1
01 health hub,0
@corona tests,1
the montague clinic,1
reading fit to fly,1
abbeycovidscreening,1
doctap,1
test to you,1
shantys pharmacy,1
1st class testing ltd,1
044 covid test,0
1west end medical practice uk ltd,1
an sf screening and vaccination service,1
coronafocus by oncologica uk ltd (t/a oncologica uk ltd),1
1  nomad,1
just health,1
the health clinic by ar limited,1
helix services limited also t/a travel test assured,1
medicines online,0
00expert tms limited,0
the health suite,1
medchecks,1
vitacheck,1
project screen by prenetics,1
coop pharmacy,1
jdoc medical limited,1
well pharmacy (bestway national chemists),1
0044healthtesting,1
analysis1,1
.0000covid 19 private test ltd,1
medwyn occupational health,1
circular 1 health ltd,1
pall mall medical (manchester) limited,1
doctorcall limited,1
anglo belgravia,1
aesthetika clinic,1
isac labs ltd,1
fusion radiology,1
randox health liverpoolone,1
check my body health,1
cov19 care,1
polaris medical services ltd,1
your health first,1
vista pharmacy,1
the hove practice,1
fusion radiology ltd,1
cht,1
saunders pharmacy,1
outcome diagnostics (outcomedx),0
forensic genomics innovation hub ltd,1
skc occupational health,1
all healthcare,1
one5 health,1
agg coventry ltd ta vantage chemist,1
dr mo private clinic norwich,1
vitalclinic,1
blindspot global,1
accendolab limited,0
qured,1
the city & travel clinic,1
a1 covid testing,0
rightangled,1
hhh diagnostics,0
00analysis1,1
bupa occupational health ltd,1
labmedexpert,1
avante health private gp,1
jdoc medical limited ( t/a jdoc365),1
"c-19 direct uk lab alliance by cambrige clinical laboratories & nonocus, using c-19 direct uk lab alliance by cambrige clinical laboratories & nonocus",1
"nivha laboratory services ltd, randox",1
3six health,1
corona test centre,1
0001ace-thetix,1
dr shilpa dave private gp teddington,1
cq doctor,1
digital health group ltd t/a pharma diagnostics,1
your doctor film and media,1
blackburn travel clinic,1
the travel vaccine room,1
0+blindspot global,1
nomad,1
a1 global testing limited,1
1affordabletest,1
001aexpresstesting,1
testing for all,1
samedaydoctor canary wharf,1
global express travel health clinic,1
remedys pharmacy w9,1
amin pharmacy,1
rt diagnostics,1
project olive lindfield limited,1
001 expert covid testing uk,1
ramss,1
citydoc medical,1
barkerhouse pharmacy,1
aeromedical consulting uk,1
vaccination uk ltd,1
1 health hub ltd,0
medic 1 direct,1
mildcare ltd,1
alexandru livinschi (t/a bai long ltd),1
the express clinic,1
the health clinic by ar,1
somdoc ltd / home2lab,1
c19 testing,1
effect doctors,1
1010labs,0
uk health testing,0
churchill's pharmacy,1
covid19 checking,1
i-gen testing,1
eurofins,1
optimized body & mind,0
c-19 direct uk lab alliance by cambrige clinical laboratories & nonocus,1
